t,tip_x,tip_y,tip_z,target_x,target_y,target_z
0.418,21.058082346680386,1.45142991202025,0.9328266909816086,21.0,2.0,2.3
0.42,21.049349757377946,1.44134781228436,0.9315514839283912,21.0,2.0,2.3
0.422,21.04106446890837,1.428596553315385,0.9292644243506785,21.0,2.0,2.3
0.424,21.033969118525967,1.4138025331112118,0.9258138647500359,21.0,2.0,2.3
0.426,21.02838990780754,1.3976795043324013,0.9212780418245562,21.0,2.0,2.3
0.428,21.024437672868384,1.3807934249714195,0.9160252311708532,21.0,2.0,2.3
0.43,21.022065466229957,1.3635124458190397,0.9106298664254686,21.0,2.0,2.3
0.432,21.021168673689168,1.34601058792466,0.9056693346149736,21.0,2.0,2.3
0.434,21.021575807413072,1.328342824145891,0.9013700431055057,21.0,2.0,2.3
0.436,21.023171419982024,1.31047637204486,0.8976896377820438,21.0,2.0,2.3
0.438,21.02602400346047,1.2922941189346346,0.8945495603937346,21.0,2.0,2.3
0.44,21.03034510742578,1.273597608684473,0.8918549471547862,21.0,2.0,2.3
0.442,21.036364107534865,1.2541526478687395,0.8894672510227603,21.0,2.0,2.3
0.444,21.04419930992909,1.2337717147989253,0.8872141736602511,21.0,2.0,2.3
0.446,21.053858650913718,1.2124224782274386,0.8849768692184982,21.0,2.0,2.3
0.448,21.065318179341787,1.190471720575601,0.8828723219680936,21.0,2.0,2.3
0.45,21.07853122458196,1.1687737386769776,0.8813374104885845,21.0,2.0,2.3
0.452,21.09325747227567,1.1483105514965986,0.8809941444573468,21.0,2.0,2.3
0.454,21.108967799548157,1.129735337331631,0.88239485737273,21.0,2.0,2.3
0.456,21.125060399670406,1.1131902164940612,0.8858127866805712,21.0,2.0,2.3
0.458,21.141135946933403,1.0985020188470334,0.891341065447823,21.0,2.0,2.3
0.46,21.156986478693725,1.0853965844397213,0.8990361923128166,21.0,2.0,2.3
0.462,21.17249897771348,1.0735274479758288,0.9089110263934977,21.0,2.0,2.3
0.464,21.187599948844646,1.0625548228362836,0.9207557469088202,21.0,2.0,2.3
0.466,21.20217469521635,1.0521121168390952,0.9340452814811789,21.0,2.0,2.3
